Date,Open,High,Low,Close
05/19/2020,"0.06038%","0.06038%","0.06038%","0.06038%"
05/15/2020,"0.06200%","0.06200%","0.06200%","0.06200%"
05/14/2020,"0.06150%","0.06150%","0.06150%","0.06150%"
05/13/2020,"0.06100%","0.06100%","0.06100%","0.06100%"
05/12/2020,"0.06063%","0.06063%","0.06063%","0.06063%"
05/11/2020,"0.06163%","0.06163%","0.06163%","0.06163%"
05/07/2020,"0.06100%","0.06100%","0.06100%","0.06100%"
05/06/2020,"0.06250%","0.06250%","0.06250%","0.06250%"
05/05/2020,"0.05775%","0.05775%","0.05775%","0.05775%"
05/04/2020,"0.05725%","0.05725%","0.05725%","0.05725%"
05/01/2020,"0.05838%","0.05838%","0.05838%","0.05838%"
04/30/2020,"0.06050%","0.06050%","0.06050%","0.06050%"
04/29/2020,"0.05488%","0.05488%","0.05488%","0.05488%"
04/28/2020,"0.05075%","0.05075%","0.05075%","0.05075%"
04/27/2020,"0.05600%","0.05600%","0.05600%","0.05600%"
04/24/2020,"0.05675%","0.05675%","0.05675%","0.05675%"
04/23/2020,"0.05825%","0.05825%","0.05825%","0.05825%"
04/22/2020,"0.06350%","0.06350%","0.06350%","0.06350%"
04/21/2020,"0.06313%","0.06313%","0.06313%","0.06313%"
04/20/2020,"0.06463%","0.06463%","0.06463%","0.06463%"
04/17/2020,"0.06700%","0.06700%","0.06700%","0.06700%"
04/16/2020,"0.06700%","0.06700%","0.06700%","0.06700%"
04/15/2020,"0.06613%","0.06613%","0.06613%","0.06613%"
04/14/2020,"0.07163%","0.07163%","0.07163%","0.07163%"
04/09/2020,"0.06775%","0.06775%","0.06775%","0.06775%"
04/08/2020,"0.07188%","0.07188%","0.07188%","0.07188%"
04/07/2020,"0.07700%","0.07700%","0.07700%","0.07700%"
04/06/2020,"0.07450%","0.07450%","0.07450%","0.07450%"
04/03/2020,"0.07663%","0.07663%","0.07663%","0.07663%"
04/02/2020,"0.08588%","0.08588%","0.08588%","0.08588%"
04/01/2020,"0.10875%","0.10875%","0.10875%","0.10875%"
03/31/2020,"0.11900%","0.11900%","0.11900%","0.11900%"
03/30/2020,"0.12088%","0.12088%","0.12088%","0.12088%"
03/27/2020,"0.13625%","0.13625%","0.13625%","0.13625%"
03/26/2020,"0.14988%","0.14988%","0.14988%","0.14988%"
03/25/2020,"0.20125%","0.20125%","0.20125%","0.20125%"
03/24/2020,"0.17813%","0.17813%","0.17813%","0.17813%"
03/23/2020,"0.20650%","0.20650%","0.20650%","0.20650%"
03/20/2020,"0.21188%","0.21188%","0.21188%","0.21188%"
03/19/2020,"0.29825%","0.29825%","0.29825%","0.29825%"
03/18/2020,"0.37988%","0.37988%","0.37988%","0.37988%"
03/17/2020,"0.25813%","0.25813%","0.25813%","0.25813%"
03/16/2020,"0.23925%","0.23925%","0.23925%","0.23925%"
03/13/2020,"1.08488%","1.08488%","1.08488%","1.08488%"
03/12/2020,"1.08663%","1.08663%","1.08663%","1.08663%"
03/11/2020,"1.08400%","1.08400%","1.08400%","1.08400%"
03/10/2020,"1.08200%","1.08200%","1.08200%","1.08200%"
03/09/2020,"1.08113%","1.08113%","1.08113%","1.08113%"
