Date,Close
04/21/2020,2791.34
04/20/2020,2909.50
04/17/2020,2888.30
04/16/2020,2812.35
04/15/2020,2808.20
04/14/2020,2917.74
4/9/20,2892.79
4/8/20,2851.27
4/7/20,2857.67
4/6/20,2795.97
4/3/20,2662.99
4/2/20,2688.49
4/1/20,2680.30
03/31/2020,2786.90
03/30/2020,2765.62
03/27/2020,2728.65
03/26/2020,2847.78
03/25/2020,2800.14
03/24/2020,2715.11
03/23/2020,2485.54
03/20/2020,2548.50
03/19/2020,2454.08
03/18/2020,2385.82
03/17/2020,2530.50
03/16/2020,2450.37
03/13/2020,2586.02
3/12/20,2545.23
3/11/20,2905.56
3/10/20,2910.02
3/9/20,2959.07
3/6/20,3232.07
3/5/20,3363.58
3/4/20,3420.56
3/3/20,3371.97
3/2/20,3338.83
02/28/2020,3329.49
02/27/2020,3455.92
02/26/2020,3577.68
02/25/2020,3572.51
02/24/2020,3647.98
02/21/2020,3800.38
02/20/2020,3822.98
02/19/2020,3865.18
02/18/2020,3836.54
02/17/2020,3853.27
02/14/2020,3840.97
02/13/2020,3846.74
2/12/20,3854.43
2/11/20,3825.84
2/10/20,3793.18
2/7/20,3798.49
2/6/20,3805.52
2/5/20,3777.84
2/4/20,3732.28
2/3/20,3661.27
01/31/2020,3640.91
01/30/2020,3690.78
01/29/2020,3736.36
01/28/2020,3719.22
01/27/2020,3677.84
01/24/2020,3779.16
01/23/2020,3736.85
01/22/2020,3769.79
01/21/2020,3789.12
01/20/2020,3799.03
01/17/2020,3808.26
01/16/2020,3774.14
01/15/2020,3768.96
01/14/2020,3774.88
01/13/2020,3779.68
1/10/20,3789.52
1/9/20,3795.88
1/8/20,3772.56
1/7/20,3759.25
1/6/20,3752.52
1/3/20,3773.37
1/2/20,3793.24
12/31/2019,3745.15
12/30/2019,3748.47
12/27/2019,3782.27
12/24/2019,3774.39
12/23/2019,3776.66
12/20/2019,3776.56
12/19/2019,3739.17
12/18/2019,3739.00
12/17/2019,3745.28
12/16/2019,3772.74
12/13/2019,3731.07
12/12/19,3706.35
12/11/19,3687.45
12/10/19,3671.78
12/9/19,3672.18
12/6/19,3692.34
12/5/19,3648.13
12/4/19,3660.02
12/3/19,3610.99
12/2/19,3626.66
11/29/2019,3703.58
11/28/2019,3704.48
11/27/2019,3712.85
11/26/2019,3705.55
11/25/2019,3707.68
11/22/2019,3687.32
11/21/2019,3679.66
11/20/2019,3683.88
11/19/2019,3696.56
11/18/2019,3704.92
11/15/2019,3711.61
11/14/2019,3688.81
11/13/2019,3699.50
11/12/19,3712.20
11/11/19,3696.82
11/8/19,3699.65
11/7/19,3706.68
11/6/19,3688.74
11/5/19,3676.52
11/4/19,3665.21
11/1/19,3623.74
10/31/2019,3604.41
10/30/2019,3620.29
10/29/2019,3622.09
10/28/2019,3625.69
10/25/2019,3624.68
10/24/2019,3621.37
10/23/2019,3606.89
10/22/2019,3604.82
10/21/2019,3600.08
10/18/2019,3579.41
10/17/2019,3588.62
10/16/2019,3599.25
10/15/2019,3598.65
10/14/2019,3556.26
10/11/19,3569.92
10/10/19,3493.96
10/9/19,3462.11
10/8/19,3432.76
10/7/19,3471.24
10/4/19,3446.71
10/3/19,3417.37
10/2/19,3413.31
10/1/19,3518.25
09/30/2019,3569.45
09/27/2019,3545.88
09/26/2019,3532.18
09/25/2019,3513.03
09/24/2019,3532.05
09/23/2019,3536.97
09/20/2019,3571.39
09/19/2019,3552.65
09/18/2019,3528.04
09/17/2019,3521.26
09/16/2019,3518.45
09/13/2019,3550.11
9/12/19,3538.86
9/11/19,3516.82
9/10/19,3498.99
9/9/19,3495.02
9/6/19,3495.19
9/5/19,3484.70
9/4/19,3450.83
9/3/19,3420.74
9/2/19,3432.54
08/30/2019,3426.76
08/29/2019,3411.33
08/28/2019,3365.38
08/27/2019,3370.47
08/26/2019,3348.84
08/23/2019,3334.25
08/22/2019,3373.67
08/21/2019,3394.89
08/20/2019,3350.23
08/19/2019,3369.19
08/16/2019,3329.08
08/15/2019,3282.78
08/14/2019,3288.70
08/13/2019,3357.16
8/12/19,3326.55
8/9/19,3333.74
8/8/19,3375.38
8/7/19,3309.99
8/6/19,3291.66
8/5/19,3310.93
8/2/19,3376.12
8/1/19,3490.03
07/31/2019,3466.85
07/30/2019,3462.85
07/29/2019,3523.58
07/26/2019,3524.47
07/25/2019,3510.15
07/24/2019,3532.90
07/23/2019,3532.87
07/22/2019,3489.92
07/19/2019,3480.18
07/18/2019,3482.83
07/17/2019,3501.58
07/16/2019,3521.36
07/15/2019,3502.22
7/12/19,3497.63
7/11/19,3496.73
7/10/19,3501.52
7/9/19,3509.75
7/8/19,3523.76
7/5/19,3527.98
7/4/19,3544.15
7/3/19,3540.63
7/2/19,3507.98
7/1/19,3497.59
06/28/2019,3473.69
06/27/2019,3442.38
06/26/2019,3442.95
06/25/2019,3444.36
06/24/2019,3455.57
06/21/2019,3466.92
06/20/2019,3468.08
06/19/2019,3454.70
06/18/2019,3452.89
06/17/2019,3383.21
06/14/2019,3379.19
06/13/2019,3390.50
6/12/19,3386.63
6/11/19,3401.10
6/10/19,3386.45
6/7/19,3378.38
6/6/19,3338.41
6/5/19,3339.95
6/4/19,3333.49
6/3/19,3300.22
05/31/2019,3280.43
05/30/2019,3318.15
05/29/2019,3297.81
05/28/2019,3348.86
05/27/2019,3364.04
05/24/2019,3350.70
05/23/2019,3327.20
05/22/2019,3386.72
05/21/2019,3386.51
05/20/2019,3369.78
05/17/2019,3425.64
05/16/2019,3438.56
05/15/2019,3385.78
05/14/2019,3364.38
05/13/2019,3320.78
5/10/19,3361.05
5/9/19,3350.71
5/8/19,3417.26
5/7/19,3401.16
5/6/19,3462.95
5/3/19,3502.48
5/2/19,3488.93
5/1/19,3514.62
04/30/2019,3514.62
04/29/2019,3501.94
04/26/2019,3500.41
04/25/2019,3491.92
04/24/2019,3502.63
04/23/2019,3503.85
04/18/2019,3499.23
04/17/2019,3477.73
04/16/2019,3463.36
04/15/2019,3450.46
4/12/19,3447.83
4/11/19,3435.34
4/10/19,3424.65
4/9/19,3417.22
4/8/19,3438.06
4/5/19,3447.47
4/4/19,3441.93
4/3/19,3435.56
4/2/19,3395.70
4/1/19,3385.38
03/29/2019,3351.71
03/28/2019,3320.29
03/27/2019,3322.04
03/26/2019,3319.53
03/25/2019,3300.48
03/22/2019,3305.73
03/21/2019,3367.40
03/20/2019,3372.38
03/19/2019,3409.00
03/18/2019,3387.94
03/15/2019,3386.08
03/14/2019,3342.03
03/13/2019,3323.45
3/12/19,3303.95
3/11/19,3304.44
3/8/19,3283.60
3/7/19,3308.85
3/6/19,3324.67
3/5/19,3327.19
3/4/19,3317.12
3/1/19,3312.10
02/28/2019,3298.26
02/27/2019,3282.77
02/26/2019,3289.32
02/25/2019,3280.01
02/22/2019,3270.55
02/21/2019,3263.70
02/20/2019,3259.49
02/19/2019,3239.41
02/18/2019,3244.79
