Date,Open,High,Low,Close
03/22/2017,"0.98389%","0.98389%","0.98389%","0.98389%"
03/21/2017,"0.97722%","0.97722%","0.97722%","0.97722%"
03/20/2017,"0.97722%","0.97722%","0.97722%","0.97722%"
03/17/2017,"0.97611%","0.97611%","0.97611%","0.97611%"
03/16/2017,"0.97833%","0.97833%","0.97833%","0.97833%"
03/15/2017,"0.94278%","0.94278%","0.94278%","0.94278%"
03/14/2017,"0.92833%","0.92833%","0.92833%","0.92833%"
03/13/2017,"0.91222%","0.91222%","0.91222%","0.91222%"
03/10/2017,"0.89056%","0.89056%","0.89056%","0.89056%"
03/09/2017,"0.88139%","0.88139%","0.88139%","0.88139%"
03/08/2017,"0.85778%","0.85778%","0.85778%","0.85778%"
03/07/2017,"0.85444%","0.85444%","0.85444%","0.85444%"
03/06/2017,"0.84667%","0.84667%","0.84667%","0.84667%"
03/03/2017,"0.83444%","0.83444%","0.83444%","0.83444%"
03/02/2017,"0.83000%","0.83000%","0.83000%","0.83000%"
03/01/2017,"0.81056%","0.81056%","0.81056%","0.81056%"
02/28/2017,"0.78889%","0.78889%","0.78889%","0.78889%"
02/27/2017,"0.78444%","0.78444%","0.78444%","0.78444%"
02/24/2017,"0.78056%","0.78056%","0.78056%","0.78056%"
02/23/2017,"0.77833%","0.77833%","0.77833%","0.77833%"
02/22/2017,"0.77944%","0.77944%","0.77944%","0.77944%"
02/21/2017,"0.77944%","0.77944%","0.77944%","0.77944%"
02/17/2017,"0.77944%","0.77944%","0.77944%","0.77944%"
02/16/2017,"0.78056%","0.78056%","0.78056%","0.78056%"
02/15/2017,"0.77222%","0.77222%","0.77222%","0.77222%"
02/14/2017,"0.77000%","0.77000%","0.77000%","0.77000%"
02/13/2017,"0.77000%","0.77000%","0.77000%","0.77000%"
02/10/2017,"0.77111%","0.77111%","0.77111%","0.77111%"
02/09/2017,"0.77056%","0.77056%","0.77056%","0.77056%"
02/08/2017,"0.77167%","0.77167%","0.77167%","0.77167%"
02/07/2017,"0.77278%","0.77278%","0.77278%","0.77278%"
02/06/2017,"0.77528%","0.77528%","0.77528%","0.77528%"
02/03/2017,"0.77556%","0.77556%","0.77556%","0.77556%"
02/02/2017,"0.77667%","0.77667%","0.77667%","0.77667%"
02/01/2017,"0.78000%","0.78000%","0.78000%","0.78000%"
01/31/2017,"0.77944%","0.77944%","0.77944%","0.77944%"
01/30/2017,"0.78000%","0.78000%","0.78000%","0.78000%"
01/27/2017,"0.77833%","0.77833%","0.77833%","0.77833%"
01/26/2017,"0.77611%","0.77611%","0.77611%","0.77611%"
01/25/2017,"0.77611%","0.77611%","0.77611%","0.77611%"
01/24/2017,"0.77333%","0.77333%","0.77333%","0.77333%"
01/23/2017,"0.77111%","0.77111%","0.77111%","0.77111%"
01/20/2017,"0.77528%","0.77528%","0.77528%","0.77528%"
01/19/2017,"0.77639%","0.77639%","0.77639%","0.77639%"
01/18/2017,"0.77667%","0.77667%","0.77667%","0.77667%"
01/17/2017,"0.76944%","0.76944%","0.76944%","0.76944%"
01/13/2017,"0.76833%","0.76833%","0.76833%","0.76833%"
01/12/2017,"0.76722%","0.76722%","0.76722%","0.76722%"
01/11/2017,"0.76722%","0.76722%","0.76722%","0.76722%"
01/10/2017,"0.76500%","0.76500%","0.76500%","0.76500%"
01/09/2017,"0.76333%","0.76333%","0.76333%","0.76333%"
01/06/2017,"0.76333%","0.76333%","0.76333%","0.76333%"
01/05/2017,"0.76556%","0.76556%","0.76556%","0.76556%"
01/04/2017,"0.76556%","0.76556%","0.76556%","0.76556%"
01/03/2017,"0.77333%","0.77333%","0.77333%","0.77333%"
